course_name,level,level/_source,course_num/_text,course_name/_source,course_num/_source,level/_text,course_name/_text,course_num
http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,STS.064J,/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,Undergraduate,DV Lab: Documenting Science Through Video and New Media,http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012
http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,15.031J,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,Undergraduate,"Energy Decisions, Markets, and Policies",http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012
http://ocw.mit.edu/courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004,http://ocw.mit.edu/courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004,/courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004,15.084J,/courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004,/courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004,Graduate,Nonlinear Programming,http://ocw.mit.edu/courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004
http://ocw.mit.edu/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2012,http://ocw.mit.edu/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2012,/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2012,15.356,/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2012,/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2012,Graduate,How to Develop Breakthrough Products and Services,http://ocw.mit.edu/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2012
http://ocw.mit.edu/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2004,http://ocw.mit.edu/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2004,/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2004,15.356,/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2004,/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2004,Graduate,"How to Develop ""Breakthrough"" Products and Services",http://ocw.mit.edu/courses/sloan-school-of-management/15-356-how-to-develop-breakthrough-products-and-services-spring-2004
http://ocw.mit.edu/courses/sloan-school-of-management/15-401-finance-theory-i-fall-2008,http://ocw.mit.edu/courses/sloan-school-of-management/15-401-finance-theory-i-fall-2008,/courses/sloan-school-of-management/15-401-finance-theory-i-fall-2008,15.401,/courses/sloan-school-of-management/15-401-finance-theory-i-fall-2008,/courses/sloan-school-of-management/15-401-finance-theory-i-fall-2008,Graduate,Finance Theory I,http://ocw.mit.edu/courses/sloan-school-of-management/15-401-finance-theory-i-fall-2008
http://ocw.mit.edu/courses/sloan-school-of-management/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003,http://ocw.mit.edu/courses/sloan-school-of-management/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003,/courses/sloan-school-of-management/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003,15.566,/courses/sloan-school-of-management/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003,/courses/sloan-school-of-management/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003,Graduate,Information Technology as an Integrating Force in Manufacturing,http://ocw.mit.edu/courses/sloan-school-of-management/15-566-information-technology-as-an-integrating-force-in-manufacturing-spring-2003
http://ocw.mit.edu/courses/sloan-school-of-management/15-969-dynamic-leadership-using-improvisation-in-business-fall-2004,http://ocw.mit.edu/courses/sloan-school-of-management/15-969-dynamic-leadership-using-improvisation-in-business-fall-2004,/courses/sloan-school-of-management/15-969-dynamic-leadership-using-improvisation-in-business-fall-2004,15.969,/courses/sloan-school-of-management/15-969-dynamic-leadership-using-improvisation-in-business-fall-2004,/courses/sloan-school-of-management/15-969-dynamic-leadership-using-improvisation-in-business-fall-2004,Graduate,Dynamic Leadership: Using Improvisation in Business,http://ocw.mit.edu/courses/sloan-school-of-management/15-969-dynamic-leadership-using-improvisation-in-business-fall-2004
http://ocw.mit.edu/courses/sloan-school-of-management/15-s50-poker-theory-and-analytics-january-iap-2015,http://ocw.mit.edu/courses/sloan-school-of-management/15-s50-poker-theory-and-analytics-january-iap-2015,/courses/sloan-school-of-management/15-s50-poker-theory-and-analytics-january-iap-2015,15.S50,/courses/sloan-school-of-management/15-s50-poker-theory-and-analytics-january-iap-2015,/courses/sloan-school-of-management/15-s50-poker-theory-and-analytics-january-iap-2015,Graduate,Poker Theory and Analytics,http://ocw.mit.edu/courses/sloan-school-of-management/15-s50-poker-theory-and-analytics-january-iap-2015
http://ocw.mit.edu/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009,http://ocw.mit.edu/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009,/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009,Supplemental,/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009,/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009,Undergraduate,Abdul Latif Jameel Poverty Action Lab Executive Training: Evaluating Social Programs 2009,http://ocw.mit.edu/resources/res-14-001-abdul-latif-jameel-poverty-action-lab-executive-training-evaluating-social-programs-2009-spring-2009
http://ocw.mit.edu/resources/res-ll-001-introduction-to-radar-systems-spring-2007,http://ocw.mit.edu/resources/res-ll-001-introduction-to-radar-systems-spring-2007,/resources/res-ll-001-introduction-to-radar-systems-spring-2007,Supplemental,/resources/res-ll-001-introduction-to-radar-systems-spring-2007,/resources/res-ll-001-introduction-to-radar-systems-spring-2007,Undergraduate,Introduction to Radar Systems,http://ocw.mit.edu/resources/res-ll-001-introduction-to-radar-systems-spring-2007
http://ocw.mit.edu/resources/res-ll-002-adaptive-antennas-and-phased-arrays-spring-2010,http://ocw.mit.edu/resources/res-ll-002-adaptive-antennas-and-phased-arrays-spring-2010,/resources/res-ll-002-adaptive-antennas-and-phased-arrays-spring-2010,Supplemental,/resources/res-ll-002-adaptive-antennas-and-phased-arrays-spring-2010,/resources/res-ll-002-adaptive-antennas-and-phased-arrays-spring-2010,Undergraduate,Adaptive Antennas and Phased Arrays,http://ocw.mit.edu/resources/res-ll-002-adaptive-antennas-and-phased-arrays-spring-2010
http://ocw.mit.edu/resources/res-tll-004-stem-concept-videos-fall-2013,http://ocw.mit.edu/resources/res-tll-004-stem-concept-videos-fall-2013,/resources/res-tll-004-stem-concept-videos-fall-2013,Supplemental,/resources/res-tll-004-stem-concept-videos-fall-2013,/resources/res-tll-004-stem-concept-videos-fall-2013,Undergraduate,STEM Concept Videos,http://ocw.mit.edu/resources/res-tll-004-stem-concept-videos-fall-2013
http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,11.161J,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012,Undergraduate,"Energy Decisions, Markets, and Policies",http://ocw.mit.edu/courses/sloan-school-of-management/15-031j-energy-decisions-markets-and-policies-spring-2012
